Phoneme Example Translation
------- ------- -----------
AA      odd     AA D           
AE      at      AE T           
AH      hut     HH AH T
AO      ought   AO T
AW      cow     K AW           
AY      hide    HH AY D
UH      hood    HH UH D
UW      two     T UW
OW      oat     OW T           
OY      toy     T OY
EH      Ed      EH D           
EY      ate     EY T           
IH      it      IH T           
IY      eat     IY T
ER      hurt    HH ER T
NG      ping    P IH NG
B       be      B IY           
CH      cheese  CH IY Z
D       dee     D IY           
DH      thee    DH IY
F       fee     F IY
G       green   G R IY N       
HH      he      HH IY
JH      gee     JH IY          
K       key     K IY
L       lee     L IY           
M       me      M IY
N       knee    N IY           
P       pee     P IY           
R       read    R IY D
S       sea     S IY           
SH      she     SH IY
T       tea     T IY           
TH      theta   TH EY T AH
V       vee     V IY           
W       we      W IY
Y       yield   Y IY L D       
Z       zee     Z IY
ZH      seizure S IY ZH ER
